Android application is debugging.
Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/XamarinForms_ListviewSelection.Droid.dll
Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/FormsViewGroup.dll [External]
02-12 15:43:54.813 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.UI.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Core.UI.dll.so" not found
02-12 15:43:54.813 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Core.UI.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Core.UI.dll.so" not found
02-12 15:43:54.813 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.UI.dll'.
02-12 15:43:54.813 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.UI.dll.config'.
02-12 15:43:54.813 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Core.UI/Xamarin.Android.Support.Core.UI.config'.
02-12 15:43:54.813 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.Utils.dll'.Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Annotations.dll [External]

02-12 15:43:54.814 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Core.Utils[0xa3b1e940] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.Utils.dll[0xa3116b00]: 2
02-12 15:43:54.814 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Core.Utils' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.Utils.dll)
02-12 15:43:54.814 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Core.Utils[0xa3b1e940] added to domain RootDomain, ref_count=1
02-12 15:43:54.814 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.Utils.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Core.Utils.dll.so" not found
02-12 15:43:54.815 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Core.Utils.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Core.Utils.dll.so" not found
02-12 15:43:54.815 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.Utils.dll'.
02-12 15:43:54.815 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.Utils.dll.config'.
02-12 15:43:54.815 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Core.Utils/Xamarin.Android.Support.Core.Utils.config'.
02-12 15:43:54.815 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Design.dll'.
02-12 15:43:54.816 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Design[0xa3b1e9a0] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Design.dll[0xa3b6b000]: 2
02-12 15:43:54.816 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Design' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Design.dll)
02-12 15:43:54.816 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Design[0xa3b1e9a0] added to domain RootDomain, ref_count=1
Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Compat.dll [External]02-12 15:43:54.817 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Design.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Design.dll.so" not found

02-12 15:43:54.817 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Design.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Design.dll.so" not found
02-12 15:43:54.817 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Design.dll'.
02-12 15:43:54.817 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Design.dll.config'.
02-12 15:43:54.817 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Design/Xamarin.Android.Support.Design.config'.
02-12 15:43:54.817 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Fragment.dll'.
02-12 15:43:54.818 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Fragment[0xa3b1ea00] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Fragment.dll[0xa3b6b500]: 2
02-12 15:43:54.818 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Fragment' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Fragment.dll)
02-12 15:43:54.818 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Fragment[0xa3b1ea00] added to domain RootDomain, ref_count=1
02-12 15:43:54.818 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Fragment.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Fragment.dll.so" not foundLoaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.UI.dll [External]

02-12 15:43:54.819 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Fragment.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Fragment.dll.so" not found
02-12 15:43:54.819 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Fragment.dll'.
02-12 15:43:54.819 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Fragment.dll.config'.
02-12 15:43:54.819 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Fragment/Xamarin.Android.Support.Fragment.config'.
02-12 15:43:54.819 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Media.Compat.dll'.
02-12 15:43:54.820 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Media.Compat[0xa3b1ea60] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Media.Compat.dll[0xa3b6ba00]: 2
02-12 15:43:54.820 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Media.Compat' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Media.Compat.dll)
02-12 15:43:54.820 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Media.Compat[0xa3b1ea60] added to domain RootDomain, ref_count=1
02-12 15:43:54.821 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Media.Compat.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Media.Compat.dll.so" not found
02-12 15:43:54.821 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Media.Compat.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Media.Compat.dll.so" not found
Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Core.Utils.dll [External]02-12 15:43:54.821 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Media.Compat.dll'.

02-12 15:43:54.821 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Media.Compat.dll.config'.
02-12 15:43:54.821 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Media.Compat/Xamarin.Android.Support.Media.Compat.config'.
02-12 15:43:54.821 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Transition.dll'.
02-12 15:43:54.822 D/Mono    ( 4064): Image addref Xamarin.Android.Support.Transition[0xa3b1eac0] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Transition.dll[0xa3b6bf00]: 2
02-12 15:43:54.822 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.Transition' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Transition.dll)
02-12 15:43:54.822 D/Mono    ( 4064): Assembly Xamarin.Android.Support.Transition[0xa3b1eac0] added to domain RootDomain, ref_count=1
02-12 15:43:54.822 D/Mono    ( 4064): AOT: image '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Transition.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Transition.dll.so" not found
02-12 15:43:54.823 D/Mono    ( 4064): AOT: image '/usr/local/lib/mono/aot-cache/x86/Xamarin.Android.Support.Transition.dll.so' not found: dlopen failed: library "/data/app/com.xamarin.xamarinforms_listviewselection-1/lib/x86/libaot-Xamarin.Android.Support.Transition.dll.so" not found
02-12 15:43:54.823 D/Mono    ( 4064): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Transition.dll'.
02-12 15:43:54.823 D/Mono    ( 4064): Config attempting to parse: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Transition.dll.config'.
Loaded assembly: /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.Design.dll [External]02-12 15:43:54.823 D/Mono    ( 4064): Config attempting to parse: '/usr/local/etc/mono/assemblies/Xamarin.Android.Support.Transition/Xamarin.Android.Support.Transition.config'.

02-12 15:43:54.823 D/Mono    ( 4064): Assembly Loader probing location: '/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.v4.dll'.
02-12 15:43:54.823 D/Mono    ( 4064): Image addref Xamarin.Android.Support.v4[0xa3b1eb20] -> /storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.v4.dll[0xa3b6c400]: 2
02-12 15:43:54.823 D/Mono    ( 4064): Prepared to set up assembly 'Xamarin.Android.Support.v4' (/storage/emulated/0/Android/data/com.xamarin.xamarinforms_listviewselection/files/.__override__/Xamarin.Android.Support.v4.dll)
